Q4,Q1,Q5,Q6,Q8
Indichi il suo anno di nascita.,Indichi il suo sesso.,In quale delle seguenti condizioni lavorative si trova?,In quale Regione risiede attualmente?,Qual e il suo titolo di studio?
"{""ImportId"":""QID4_TEXT""},""{""""ImportId"""":""""QID1""""}"",""{""""ImportId"""":""""QID5""""}"",""{""""ImportId"""":""""QID6""""}"",""{""""ImportId"""":""""QID8""""}"""
2002,Donna,Studente,Lombardia,Titolo universitario o superiore
2001,Donna,Studente,Lazio,Preferisco non rispondere
2000,Uomo,Studente,Lazio,Preferisco non rispondere
2001,Uomo,Studente lavoratore,Lazio,Preferisco non rispondere
,,,,
,,,,
,,,,
xxxx,Donna,Altro,Non risiedo in Italia,Nessun titolo
2001,Donna,Studente,Puglia,Diploma di scuola superiore
2002,Donna,Studente,Lombardia,Diploma di scuola superiore
2001,Donna,Studente,Lombardia,Titolo universitario o superiore
2001,Uomo,Studente lavoratore,Lazio,Titolo universitario o superiore
2001,Uomo,Studente,Lazio,Titolo universitario o superiore
2001,Donna,Studente lavoratore,Lazio,Titolo universitario o superiore
2001,Donna,Studente,Emilia Romagna,Titolo universitario o superiore
2001,Donna,Studente,Piemonte,Titolo universitario o superiore
2003,Uomo,Studente,Emilia Romagna,Diploma di scuola superiore
1976,Donna,Lavoratore/Lavoratrice,Lombardia,Titolo universitario o superiore
2001,Donna,Studente,Lombardia,Diploma di scuola superiore
1999,Uomo,Studente,Lazio,Titolo universitario o superiore
1998,Donna,Studente,Lazio,Diploma di scuola superiore
2003,Uomo,Studente lavoratore,Emilia Romagna,Diploma di scuola superiore
2001,Donna,Studente,Abruzzo,Titolo universitario o superiore
2001,Donna,Studente lavoratore,Lazio,Diploma di scuola superiore
2001,Donna,Studente,Veneto,Titolo universitario o superiore
2001,Uomo,Studente,Trentino Alto Adige/Südtirol,Diploma di scuola superiore
2000,Uomo,Studente,Lombardia,Titolo universitario o superiore
2002,Donna,Studente,Lombardia,Diploma di scuola superiore
06/04/2001,Uomo,Lavoratore/Lavoratrice,Lombardia,Diploma di scuola superiore
1968,Uomo,Lavoratore/Lavoratrice,Lazio,Titolo universitario o superiore
23/03/2001,Uomo,Studente,Lazio,Diploma di scuola superiore
2001,Donna,Studente lavoratore,Trentino Alto Adige/Südtirol,Diploma di scuola superiore
2003,Donna,Studente,Emilia Romagna,Diploma di scuola superiore
2001,Donna,Studente,Lombardia,Diploma di scuola superiore
2001,Uomo,Lavoratore/Lavoratrice,Lazio,Diploma di scuola superiore
2001,Uomo,Studente,Lombardia,Diploma di scuola superiore
1970,Donna,Lavoratore/Lavoratrice,Lazio,Titolo universitario o superiore
2001,Uomo,Studente,Lombardia,Diploma di scuola superiore
2000,Uomo,Lavoratore/Lavoratrice,Lombardia,Diploma di scuola superiore
1976,Donna,Lavoratore/Lavoratrice,Lazio,Titolo universitario o superiore
2001,Donna,Studente,Lazio,Diploma di scuola superiore
2003,Uomo,Studente lavoratore,Emilia Romagna,Diploma di scuola superiore
2003,Uomo,Studente,Emilia Romagna,Diploma di scuola superiore
2001,Uomo,Studente,Trentino Alto Adige/Südtirol,Diploma di scuola superiore
1999,Donna,Studente,Piemonte,Diploma di scuola superiore
2001,Donna,Studente,Lazio,Titolo universitario o superiore
2006,Uomo,Studente,Lazio,Diploma di scuola elementare o scuola media
2004,Donna,Studente,Lazio,Diploma di scuola superiore
2001,Donna,Studente,Sicilia,Diploma di scuola superiore
2004,Uomo,Studente,Liguria,Diploma di scuola superiore
2001,Uomo,Studente,Sicilia,Titolo universitario o superiore
2001,Uomo,Studente,Lombardia,Diploma di scuola superiore
2006,Altro,Studente,Lombardia,Diploma di scuola superiore
2001,Donna,Studente,Lazio,Titolo universitario o superiore
2000,Uomo,Studente,Lazio,Titolo universitario o superiore
2001,Uomo,Studente,Lombardia,Diploma di scuola superiore
2001,Donna,Studente,Lazio,Titolo universitario o superiore
2004,Donna,Studente,Emilia Romagna,Diploma di scuola superiore
2001,Altro,Studente lavoratore,Lombardia,Diploma di scuola superiore
